Country,Unique.Line.ID,Comment
China,CNE0090.1,"Previously when the old instrument broke down, we called for maintenance. The technical support staff usually came to fix the problem in a week. But Siemens solves the problems really fast, usually within 24 hours.  "
Japan,J16JP10910-9.1,"It is compact so it is easy to use and convenient to carry around. Maintenance is simple too. It is small, so image quality is not as good as larger models."
India,INE591.3,"XMATRIX transducer technology of the system from Philips delivers improved imaging in 2D, 3D, and Live 3D imaging. "
Brazil,BZC739.1,This system is a powerful combination of performance and work-flow for quick diagnosis and confident. 
Germany,J16DE13268-3.1,"So far as can be judged, no large problems or repairs. In as far as I have seen (not a radiologist) reliable equipment and good service. "
USA,J16US16875-25.1,good brand to work with. reliable product none
France,J16FR10071-8.1,Reliable device with very good quality imagery and easy interface Fragile probes
USA,J16US11589-16.1,They have the easiest to use machine for flouro. nothing negative. no negative comments.
France,J16FR10089-9.2,"Placed in service with high performing commercial contract. Very reactive repairs, device ready for continued medical training, very versatile device. Not very intuitive with the tactile screen"
UK,J16UK11769-9.2,"Easy to use. big buttons poor image quality, outdated technology"
India,INE535.1,"It is easy to operate, fast to learn. It's programs can be pre-defined and can be tailored to individual requirements. "
USA,J16US16636-5.1,"needs detailed imaging easy to use and best quality of images cumbersome, expensive, difficult to get techs to operate"
USA,J16US16723-2.1,"Excellent image quality, durability, good collaboration options difficult to understand, upgrade can be cumbersome"
France,J16FR10756-1.1,Reliable and good imaging. Heavy
USA,J16US15353-1.2,very good for hybrid rooms or stand alone labs costs and service
USA,J16US10216-8.2,good penetration for obese and technically difficult pts; has good resolution with fewer artifacts; good range of transducers to do multiple jobs will take some time to learn to navigate as some functions are difficult to learn immediately; the cost can be a problem depending on the contract you have
India,IND0064.2,it offers fast and smooth examinations with clear cut specific images of high resolution. the machine is affordable and great. 
Brazil,BZA00137.1,"From now on, all their machines are working very well for us. This FD20 system provides visuals without distortion of minute details that help improve the clarity of the image during invasive procedures. "
France,J16FR11369-4.1,Innovation and responsiveness Integration and scalability. 
UK,J16UK10810-9.1,Good technology and support Expense
Brazil,BZC447.3,Best brand until now 
Japan,J16JP12243-2.2,"The equipment uses the latest software. When their application staff came to explain, he did not have a good understanding of the system."
Brazil,BZA00125.2,"This equipment offers many good resources for the user and the low cost and ease of service in advance, but you need to have a good capital budget to pay for this equipment. "
Germany,J16DE12273-26.1,"Combination of PET/SPECT/CT. Inadequate system stability, prone to errors."
Japan,J16JP10711-8.1,It is compact and does not take up too much room. It is lightweight to move around. It takes too long to start up.
Japan,J16JP10034-4.1,"320 slice, temporary resolution, image quality, application line-up and technology for low exposure, etc. 0"
Japan,J16JP12298-6.1,The image quality and usability are good. Version upgrades are easy and upgrades are not expensive. ?
Germany,J16DE10918-5.2,"Good application, integration into ESWL, good resolution, compatibility. "
China,CND0544.1,The scanning speed is OK. The operation is convenient. The image quality is good. The interface is good. The failure rate is not quite high. The after-sales service is good. They are able to come over quickly and fix the problems.  
USA,J16US16847-25.1,Good supportive service No negative
USA,J16US15526-1.1,easy to use bad after service contract
USA,J16US10303-4.1,it's a reliable and high quality product none.
India,INE201.3,This device has exceptional performance and improved technology of a compact ultrasound. 
India,INA0003.3,results are more precise and the machine breaks down very rare resulting in high productivity 
USA,J16US14468-4.2,Good quality. Reliable service. Great resolution.. 
China,CND0125.3,"It is convenient to use. The interface design is good. The design of the instrument is very good. The software and the hardware are both reliable. However, there are some problems with the components. the probe wears out quickly and the anti-interference capability is a little poor; other aspects are all good. "
China,CNE0124.2,The first surgery portable c-arm instrument we have is 2 years beyond the service life and is still good to use. It starts to have malfunctions after being used for 3 years. But the problems can be fixed within 2 hours and will not affect the surgeries.  
France,J16FR10343-9.1,"Robust device, irreproachable quality images, intuitive functionality Failing after sales service. Once the sales contract is signed, they're no longer there (defect of the assistance)"
UK,J16UK10059-6.2,"Good service, installation and maintenance included as well as education of our local technicians. Rather expensive, despite the discount we were offered by the company. Not that user friendly."
USA,J16US12010-9.1,Ease of use and graphics They are hard to manuever
China,CND0432.1,"The imaging is very fast, and the technology is innovative. The instrument is convenient to use and is durable. And the after-sales service is very good. "
Japan,J16JP10898-25.1,"Operation is simple and it is easy to use. The equipment is compact and does not take up much space. They respond promptly and with integrity when there are initial defects on products (severed wires, etc.). 0"
Germany,J16DE10092-6.2,Cheaper. Image quality worse than Siemens.
India,INE541.2,"High quality imaging, 3-D image fusion, flexible design, compact size all the features are available in one system. One think that we would like GE to improve in their systems is automation.  "
USA,J16US16723-6.1,Excellent sequence portfolio Too many optional features
China,CND0057.1,"There are much noise in the detection.Colorful images. But the actual positioning and some details deviate from the standard, making us feel unreliable when working on them. "
USA,J16US10159-9.1,Large screen and good picture Cumbersome to move and confusing user interface at times
Brazil,BZB24.3,"Well, I'm ok with the product, I'll give you a 6 for the recommendation. Its been over 3 years since the use of this product. Having problems with breakdown and maintenance, and that need to best product for the hospital's current set up "
France,J16FR10187-15.2,"Available, welcoming, communication, practical training. Delay in the acquisition of the device."
India,IND0050.1,the system prevents the patients from any type of risk and pain with its patient centered approach. we are quite satisfied with it. 
Japan,J16JP10332-2.1,The same as the cardiovascular system. (Used for that purpose) The same as the cardiovascular system.(Used for that purpose)
Germany,J16DE10389-5.2,Good cost-benefit structure; handling problems and is self-explanatory. 
Brazil,BZA00150.2,The sensor offers instant access to high-quality images and provides very high sensitivity. But the scanning process of this equipment is slow. 
Germany,J16DE12195-8.2,"I can't provide a detailed response, the device was installed for research purposes based on the recommendation of a colleague in nephrology. I have never personally used the equipment. None."
India,INE028.2,It is an efficient equipment with sufficient scan speed and reconstruction algorithms. The images produced are rich in details and boost our clinical decisions. 
China,CND0510.2,The response speed is sensitive. Very convenient. The image quality is also very good. There are not many problems in daily usage. The performance is reliable.  
USA,J16US11571-9.1,"Portable, durable, and good quality. Would recommend for use in busy operating room. "
India,INF103.1,We are using Interventional X-ray from GE. Its Workflow is very good and helps us in our efficiency. Its cost is reasonable and we also get quick service assistance. 
USA,J16US13720-9.1,easy to use portable affordable breaks easily
Japan,J16JP12117-1.2,The MRI equipment takes clear images of blood vessels. The remote support service was also good. 0
Brazil,BZC409.2,The use of advanced digital signal processing to control the beams more precisely. 
India,INE518.3,This machines give high contrast images. This makes our diagnosis faster and accurate 
India,INF231.1,Ultrasound machine from Philips is having high resolution images and clarity display. The team is very slow in service and spare parts are also not available easily. 
Japan,J16JP11521-2.1,It is a good system so I would like to recommend it. The foreign manufacturers' products have a slight lead in terms of images. The foreign brands are beating them a bit.
Japan,J16JP10898-6.2,"The user interface is similar to that of the Siemens system I used before (CT/Angio), so it was easy to use. As the technologists in our hospital change on a rotating basis, I have heard from many people that the operation is easy to get used to. The control system is also simple, and it has become easier to restart it when there is a power cut or an earthquake, etc. Also, it is wonderful that the helium gas level does not diminish. Concerning coronary MRI, Philips has the advantage. This equipment is suitable only for certain types of patients."
China,CND0017.2,"Good image contrast and anti-jamming ability. The whole device is well-designed and durable, with a good configuration. "
China,CNC0069.4,"good effect in training, abundant knowledge, professional communication and learn from each other's advantages, satisfying "
Germany,J16DE10900-9.2,"Unfortunately, I couldn't say. Unfortunately, I couldn't say."
Germany,J16DE11275-4.2,Our radiologists provided very good feedback. 
China,CND0536.1,The performance is quite consistent. It does not have problems very often. The images are very clear. It is quite easy to operate. The diagnostic speed is fast and it reduces the time the patients spend on examinations.  
USA,J16US17441-6.2,"don't have a lot to say about toshiba again, not much to say"
China,CND0037.1,"The image is relatively clear, not time-consuming. The process transforming reports to pictures is fast. Efficiency is relatively high. Few problems and stable performance. Software is relatively easy to use. "
China,CNB0157.3,The quality is robust and the image displays are clear and complete. It is very easy to operate and is responsive. After-sales services are good. 
India,ING00120.3,They are very supportive. The quality of machine is good &has low maintenance equipments working speed is better for us. 
USA,J16US10245-9.2,good maintenance support; intuitive controls some controls are easily broken and not durable
India,INF197.1,Philips is fantastic brand and their reputation is very high in market. CT machine performance is very good and we are happy with its configuration and specifications. Service is very much on-time. 
China,CNE0394.1,"If it's good then I'll recommend it to others so that we can communicate and share the parts. If we are running short on contrast agent we can borrow from each other and we also help each other for maintenance, that's how we collaborated with nearby hospitals "
China,CND0075.2,"The performance is not stable and the image is not as clear as the image of GE. If I have a chance to choose again, I will choose GE because it has better development technology and clearer images. There are quite a few people in this industry who are using Philips instrument for four dimensional or gynecology and obstetrics examinations. "
Japan,J16JP12248-6.1,"Images are very good. They provide advanced technology. They provide a good after-sales service and version upgrades. When there is a failure, each part is expensive."
Japan,J16JP10857-9.1,It is durable and the image quality is also good for the price.The method of use is simple. Scalability is poor.
Brazil,BZA0084.4,It is of great flexibility and ease in handling data. 
India,INE229.1,"Excellent machine, robust, clear images and quality results. "
Japan,J16JP12218-1.2,"0 In terms of performance, it is as good as foreign brands. However, the continued existence of the company itself is not clear."
Brazil,BZC0123.3,The device is consistent in providing high image quality. 
Germany,J16DE12468-8.1,"Good, reliable equipment with a large selection of transducers. Relatively high price."
USA,J16US16242-2.1,I would be likely to recommend this equipment due toits reliablity and great customer support base on my experience in the past dealing with the company 
China,CND0214.1,"It is not easy to break and the quality is good. The images are clear. The stability is quite good. The after-sales professional team is quite good, better than the one of other brands'.  "
China,CNB0111.1,The performance is stable. The images are processed in an exquisite way. There aren't many failure just occasionally some small issues like stuck etc which are all acceptable. The after-sales service is very good and it is quite simple and easy to operate it. 
UK,J16UK11010-9.2,"Compact ultrasound system that provides images with good clarity due to new crystal transducer technology and adaptive image processing for speckle reduction and a iSCAN one-button image optimization, facilitating vascular or anesthetic procedures Scan one button optimization should be bigger or even in the probe to facilate a single operator"
India,INE502.3,Because it is highly cost effective system with high imaging quality. 
India,INF141.2,Philips CT machine provides high definition and accurate scanning reports to the doctors. The bore size is such that it accommodates all kinds of patients. Dosage level is minimal. Their service support is very much on time. 
Japan,J16JP12297-24.1,"It quickly starts up and is ready to scan right away. Maintenance fees are extremely expensive, which is a problem."
India,ING00153.3,they offer better financing options and we think it would suit our colleagues better 
Germany,J16DE10645-9.1,Good image quality. Poor service for repairs.
UK,J16UK10176-9.2,Excellent image resolution in a very portable system. None.
Japan,J16JP12561-25.1,Image analysis is good. It is easy to use. The manufacturer is enthusiastic. 0
UK,J16UK12011-1.2,Good support System is very user friendly 
USA,J16US16141-5.1,easy to use harder to image some areas
India,INE303.2,This product is really good in terms of features and quality results but price is quite high. 
USA,J16US15240-1.2,"excellent service, best technology provided with state of art imaging none"
USA,J16US17295-25.1,"have been using for a long time, familiar and comfortable none"
India,INA0016.3,because their service quality is very good as well as their equipments. 
Germany,J16DE10732-6.1,"Service offer, price, good handling "
UK,J16UK11771-9.2,Have not used in a long time Have not used in a long time
Brazil,BZA0030.2,The machine allows for greater comfort and use. It has a smart user interface. High-performance systems provide sharp images. 
UK,J16UK11915-9.1,"Latest technology, good imaging, provide good maintenance, pleasant to work with and cost effective. None."
China,CND0363.1,The performance of the instrument is stable and it does not have problems often. The images are very clear and it is simple to operate. 
USA,J16US10114-16.1,"Great imaging, easy to use, good customer service "
USA,J16US11315-2.1,"We love our unit, although long learning curve none"
France,J16FR10628-1.2,"Efficient maintenance contracts, speed, technology. Price is often high"
France,J16FR11217-9.1,Excellent value for money Quality engineer not very available
USA,J16US16068-5.2,"never used this, tell me more not sure what"
China,CND0536.3,"The scanning is fast, the penetrating ability is good, and the images are of good quality. The instrument is very simple and convenient to use, and the technology is advanced. "
Brazil,BZB95.1,"very pleased with the affordable prices, good images and easy to handle "
China,CND0100.1,The quality is quite good especially the image resolution is very good because it is a big brand so the price is quite high. And the after-sales service is not as good as other brands with quite high maintenance price. 
USA,J16US10484-6.1,Good image quality and superior technical support Small bore making it is hard to accommodate large people
UK,J16UK12359-15.1,Fast data processing speed and excellent connectivity 
Japan,J16JP12260-3.1,Malfunctions are rare and image quality is good. Scanning and image processing times are also short. It is somewhat expensive. The exposure dose of the system we are using now is somewhat high.
USA,J16US13776-5.1,Quality product. Good rep support. 
India,INF158.4,Philips C-Arm machine is very flexible in movement. Our technicians feel happy to handle the machine and is user friendly.  
USA,J16US16171-25.1,Great rep support they know what they're doing Great rep support they know what  doing. But not enough wraps
Japan,J16JP12050-3.2,It is possible to obtain clear images even for large patients. Reconstruction is slow. The purchase price is high for the number of detector rows.
Brazil,BZC420.2,The products are easy to handle and control. 
Brazil,BZA0030.3,High quality and image is very affordable. But the cost of the device is high. 
USA,J16US16969-26.2,Reproducible suv values with ease of manipulation Dedicated pet without CT.  Had to merge images manually
China,CNB0025.2,there's a lot of frequent minor problems with software and coil functions are not complete. 
Brazil,BZA0003.3,"We have the entire set of solutions from Toshiba, including X-rays, imaging systems and other recording systems, and we have a great after-sales service from them. "
France,J16FR10434-9.2,"3D reconstructions and voluminous acquisition, range of probes interactive with other Philips monitors. "
Germany,J16DE11220-8.1,"Easy to operate, good image quality. Takes too long to boot up."
USA,J16US16670-6.1,great products good imaging good warranty expensive but it is worth it
UK,J16UK11171-1.1,Familiarity Expensive maintenance contract
China,CNA0063.1,material of C-arm is very good and the arm is stable when in use and will not wobble.The machine is convenient to use. Sometimes the machine crashes and it needs to be restarted several times to work normally. 
Germany,J16DE11575-9.2,"Good image quality, simple menu navigation. None."
USA,J16US16548-15.2,image quality is ok sales and support are lacking
UK,J16UK11458-8.1,User friendly Little customer support
USA,J16US15488-1.2,They are reliable and supportive expesnive
UK,J16UK10095-15.1,Easy to use and reliable. Expensive product.
Japan,J16JP11582-5.1,"It is inexpensive and installation is quick. Repairs do not take many days, and the fact that they are a Japanese manufacture is also reassuring. The equipment is heavy and can be difficult to move."
India,ING0013.1,It gives faultless performers & gives good results. Service support people are very friendly and machine's performance is very good 
UK,J16UK10063-16.2,Easy to use with intuitive user interface and excellent image quality. The detector plates break easily.
Japan,J16JP12294-24.1,"Operability is good. There are a lot of users, so users can share a wide range of information. Maintainability is good. 0"
India,ING0028.2,Technical staff  have good product knowledge as well as better communication and they give complete solution 
China,CNB0155.3,Images are exquisite. The post-processing imaging is very powerful. After-sales services are satisfying. It is very responsive and is very comfortable to use. It's also very durable. 
Germany,J16DE10238-5.1,"Good quality, good price performance ratio. Somewhat plump when compared to Siemens."
Japan,J16JP10737-9.1,It is compact. There are some functions that previous models had that are no longer there.
Brazil,BZA00142.1,The detector HDR allows for better image quality in less radiation with high efficiency of the dose. But its power consumption is quite high. 
USA,J16US10378-8.1,Responsive to problems  Interfaces generally easy-to-use Latest upgrades have been fraught with issues -- software and hardware
Germany,J16DE10434-8.2,"The device offers high quality, is somewhat more prone to repairs, good software system. It's somewhat more prone to repairs, image quality better than GE in my experience."
Brazil,BZC457.2,experienced and committed staff are always willing to help with any questions. 
USA,J16US10434-27.1,"Easy to use, reliable, consistent "
USA,J16US14937-4.2,I have not used this equipment to review I have not used this equipment to review
UK,J16UK11537-6.1,Good apps support No negative comments
China,CND0574.2,The technology is quite good and the images are clear. But the failure rate is a bit high. The after-sales service is quite good but once it fails even with the best service it still holds up your work. It would be better if a back-up instrument is provided. 
USA,J16US15415-27.1,Good quality Good dependability Good integration Not user friendly
USA,J16US15597-27.1,They stand for advanced innovation none
UK,J16UK12045-9.1,"Good images, prompt service, ease of use "
Japan,J16JP11324-9.2,The electrocardiography images are better than other brands. Their equipment repair response is inferior to other companies. They are not very proactive in terms of sales.
Japan,J16JP10299-9.2,0 Because I don't have any experience using it. It is expensive. They don't advertise it very much in the ultrasound industry.
UK,J16UK12182-8.2,Evidence papers web demo Cost could be less
India,INF198.2,CT machine from Philips is very comfortable to work with. It has high definition images and hence provided accurate results. Its technology and applications are good. 
USA,J16US15983-6.2,More versatile and able to offer vascular imaging without the need for contrast Limited use in the marketplace with lack of positive recommendations
India,INF203.2,GE IXR is also very good machine. But their performance is not cinsistent. Image resolution need to be improved. Service is often late. We are planning to shift to Siemens. 
Japan,J16JP10765-9.1,Image quality is good and it is easy to use. The usability for ultrasound-guided procedures is extremely poor.
Germany,J16DE10112-16.2,"Good processing, intuitive operation, good service. Expensive."
India,INA0046.2,their machines are faultless & give good quality services and it gives good image quality. 
USA,J16US15026-16.2,very nice image quality great screens nothing at this time
France,J16FR10323-8.1,Very good image Sometimes too many buttons
Germany,J16DE10553-6.2,Very good experiences all together. Nothing to complain about.
France,J16FR10432-9.2,Good technology Not much commercial contact
China,CND0351.1,The images are clear and the after-sales service is good. The quality is good and the performance is quite stable.  It is simple to operate. 
France,J16FR10458-9.2,"Solid, well placed After-sales service. No related training."
China,CNE0429.3,"It's an international famous brand with solid quality, imaging is clear and work flow is reasonable, so it's acknowledged by patients and doctors. It brings good economic benefits for the hospital. "
China,CNE0426.2,We need to take images based on actual conditions and we need clearer images. Also it's used for clinical diagnosis.0000000000000000 
China,CNB0075.2,"The machine is very responsive, and it is very convenient to use. 3D imaging works well and images are exquisite. Also it has high specialty feature and is convenient to operate. "
India,INC00038.3,the ge logiq 100 pro is an ideal ultrasound diagnostic imager for the doctor that is on the move. this innovative system is a highly portable ultrasound with a carrying handle built in. 
India,INE208.1,It has efficient digital clarity & speed. 
UK,J16UK10359-6.1,I'm familiar with the equipment which is a big plus. Fast acquisition time and easy integration into hospital viewing systems. 3D recons could be quicker and would like to be able to request at viewing terminals rather than pre book with radiographer
China,CNC0072.1,"German quality is nice to have as it's durable and reliable, everyone can easily accept it and it's praised again by mass public "
USA,J16US12823-6.1,great quality large bore units cant think of any
Japan,J16JP10038-3.1,They understand our hospital's situation very well and are cooperative in terms of price negotiations. 0
India,INA0018.2,it gives good images and provide best services to their clients. 
Japan,J16JP11986-25.2,"Performance is good, but it is inferior to the IVUS of Boston Scientific in terms of image quality and safety. 0"
India,INC00027.2,"ge logiq 200 is an ultrasound machine whichh has a digital beamformer, automatic tissue optimization and live picture viewing capabaility. "
Germany,J16DE10118-8.1,"Good all-round device, which can in addition be used with echo as well as other ultrasound procedures. Philips workflow, not as good as GE."
India,INE221.1,"Cost effective, mid range and reliable machine. "
USA,J16US16294-26.1,I don't have any I don't have any
Brazil,BZC433.1,They optimize scheduling and work-flow efficiency in a better way. 
USA,J16US17223-6.1,Workhorse product.  Very low downtime Not always the technology leader
India,INE257.3,It is easy to use and helps assure imaging consistency. 
China,CND0060.2,GE has always been rather good in quality and it is also more advanced in the ultrasound field in terms of technology. I think the quality of its probe chip is the best one. The sound feedback details are fully collected and the image is also of high quality. Dealers are also serious and responsible when offering after-sales service. But of course what you get is determined by how much you pay for. 
India,INE126.3,The scanner should be developed with superior motion correction features which will improve the image quality. 
Germany,J16DE10904-9.1,"Stored profile programs, good user-defined applications. Long start-up time."
Japan,J16JP10721-8.1,"The performance is good overall, it rarely breaks down and the maintenance service is good. 0"
India,INF098.1,Cost and the annual maintanence cost for the machine is very less. Communication from the company is very poor which has to improved on service and device upgradations. 
France,J16FR10770-8.2,Efficacy. Experience. Publication. Recommended. Fragility
USA,J16US10011-26.1,This is older system that have been relatively problem free and provides good quality images and functiality. none
India,ING0067.1,SHOWS CLEAR IMAGE OF DAMAGED BODY PARTS MINUTELY. RESULT IS BASED. LEADING PRODUCT IN THIS CATEGORY 
UK,J16UK11045-8.1,"Personal experience, advanced technology, support programmes "
UK,J16UK10114-9.2,Used to be the best. Stopped innovating. Do not make effort to re engage with previous customers.
USA,J16US15791-1.1,reliable product with good quality of images.  good responsiveness from support team.  good value none
China,CNE0561.1,"Many facilities in the Department of Imaging is of this company; also, many other hospitals I know are using such equipments; the quality and after-sale service are quite good; problems can be fixed within a short period. "
Japan,J16JP10268-9.2,It's compact and light so it is convenient to carry. It is easy to use. 0
Germany,J16DE10802-6.2,"Quick processing of the information, good maintenance service and easy training The image quality is not so good. "
Brazil,BZC0144.2,Manufactures products durable and resistant to produce high-resolution images. 
China,CND0229.2,The technology is good. The cost is not reasonable in all aspects. The cost of components are very high. We can't handle the repairment by ourselves even though we tried. The failure rate is high. The maintenance fee is too expensive that it is difficult for us to afford it.  
Japan,J16JP11057-1.1,"Image quality and the fact that they develop software that is easy to use. The price is higher than other brands, and the discount rate is low."
Germany,J16DE12115-5.1,"Handling, service, long useful life Rate of defects"
Germany,J16DE10937-9.1,Very reliable and easy to operate. Limited mobility.
France,J16FR11158-9.1,The best of technologies for us and nerves Not good in us cardio which is aggravating for a sonogram supposed to be used for loco regional but also cardio hemodyn as a whole.
Japan,J16JP10898-1.1,"After we installed the equipment, we had a series of problems (e.g., problems with the input signal to the large monitor, problems with the ceiling-suspended arm, X-ray tube output instability), but we resolved them one by one and now the equipment is operating stably. They are a responsible company and the service engineer rushes over within two hours, which is reassuring. Maintenance costs are high (but perhaps appropriate, given the conscientious service??"
UK,J16UK11231-16.2,Good product and cheap to purchase 
USA,J16US12814-9.2,I have minimal experience with toshiba. i have minimal experience with toshiba.
Japan,J16JP10734-9.1,The functions and images are excellent. It is used in other divisions and departments in the hospital and we are used to using it. They provide reliable maintenance. Somewhat complicated.
Japan,J16JP12151-24.1,"My impression is that they are slightly better than average. There is nothing particularly wrong with it, but it is not the best. My impression is that they are slightly better than average.There is nothing particularly wrong with it, but it is not the best."
India,INE078.2,Very satisfied with the scan outputs and the processing technology of the equipment. 
Brazil,BZC703.3,Enhanced features of low cost 
Germany,J16DE13205-1.1,"Good service, confidence in the brand name. Not so inexpensive"
India,ING0092.1,we are satisfied with the quality of their products and the technology they use in them 
USA,J16US15676-25.1,"Good image quality, excellent customer support none"
France,J16FR10760-8.1,"Image quality, after sales service. Value for money "
Germany,J16DE11277-16.2,"Very affordable, everything is great. "
Germany,J16DE10406-9.2,"Good image quality, but does not come close to Hitachi or Toshiba. "
UK,J16UK11851-8.2,GE does provide services and teaching for the staff.3D analysis is much better. The quality of the images are not as crisp as in Philips.
Japan,J16JP10068-8.2,0 It is an old model so there is nothing we can do.  But I am worried about it hurting the patients by generating heat during TEE.
